reference,degraded,moslqo
/data/evaluation_short/input/16k/p225_081.wav,/data/evaluation_short/output_ps/16k/p225_081.wav,3.59308262
/data/evaluation_short/input/16k/p225_094.wav,/data/evaluation_short/output_ps/16k/p225_094.wav,4.42242206
/data/evaluation_short/input/16k/p225_057.wav,/data/evaluation_short/output_ps/16k/p225_057.wav,4.13394655
/data/evaluation_short/input/16k/p225_018.wav,/data/evaluation_short/output_ps/16k/p225_018.wav,3.91270592
/data/evaluation_short/input/16k/p225_030.wav,/data/evaluation_short/output_ps/16k/p225_030.wav,4.19046835
/data/evaluation_short/input/16k/p225_024.wav,/data/evaluation_short/output_ps/16k/p225_024.wav,3.82930423
/data/evaluation_short/input/16k/p225_025.wav,/data/evaluation_short/output_ps/16k/p225_025.wav,4.0909197
/data/evaluation_short/input/16k/p225_019.wav,/data/evaluation_short/output_ps/16k/p225_019.wav,4.12982614
/data/evaluation_short/input/16k/p225_027.wav,/data/evaluation_short/output_ps/16k/p225_027.wav,4.12961558
/data/evaluation_short/input/16k/p225_033.wav,/data/evaluation_short/output_ps/16k/p225_033.wav,4.12820333
/data/evaluation_short/input/16k/p225_026.wav,/data/evaluation_short/output_ps/16k/p225_026.wav,4.30127714
/data/evaluation_short/input/16k/p225_022.wav,/data/evaluation_short/output_ps/16k/p225_022.wav,3.8793518
/data/evaluation_short/input/16k/p225_036.wav,/data/evaluation_short/output_ps/16k/p225_036.wav,3.9557552
/data/evaluation_short/input/16k/p225_037.wav,/data/evaluation_short/output_ps/16k/p225_037.wav,4.31779414
/data/evaluation_short/input/16k/p225_023.wav,/data/evaluation_short/output_ps/16k/p225_023.wav,3.98583224
/data/evaluation_short/input/16k/p225_035.wav,/data/evaluation_short/output_ps/16k/p225_035.wav,3.41652916
/data/evaluation_short/input/16k/p225_021.wav,/data/evaluation_short/output_ps/16k/p225_021.wav,4.09614579
/data/evaluation_short/input/16k/p225_009.wav,/data/evaluation_short/output_ps/16k/p225_009.wav,4.02169082
/data/evaluation_short/input/16k/p225_008.wav,/data/evaluation_short/output_ps/16k/p225_008.wav,3.96449037
/data/evaluation_short/input/16k/p225_020.wav,/data/evaluation_short/output_ps/16k/p225_020.wav,4.14949611
/data/evaluation_short/input/16k/p225_039.wav,/data/evaluation_short/output_ps/16k/p225_039.wav,2.57600202
/data/evaluation_short/input/16k/p225_011.wav,/data/evaluation_short/output_ps/16k/p225_011.wav,2.63778488
/data/evaluation_short/input/16k/p225_005.wav,/data/evaluation_short/output_ps/16k/p225_005.wav,2.56524268
/data/evaluation_short/input/16k/p225_004.wav,/data/evaluation_short/output_ps/16k/p225_004.wav,2.73738561
/data/evaluation_short/input/16k/p225_010.wav,/data/evaluation_short/output_ps/16k/p225_010.wav,2.5112297
/data/evaluation_short/input/16k/p225_038.wav,/data/evaluation_short/output_ps/16k/p225_038.wav,2.58365632
/data/evaluation_short/input/16k/p225_006.wav,/data/evaluation_short/output_ps/16k/p225_006.wav,2.53796199
/data/evaluation_short/input/16k/p225_012.wav,/data/evaluation_short/output_ps/16k/p225_012.wav,2.67978403
/data/evaluation_short/input/16k/p225_013.wav,/data/evaluation_short/output_ps/16k/p225_013.wav,2.47000849
/data/evaluation_short/input/16k/p225_007.wav,/data/evaluation_short/output_ps/16k/p225_007.wav,2.54931731
/data/evaluation_short/input/16k/p225_003.wav,/data/evaluation_short/output_ps/16k/p225_003.wav,2.7355128
/data/evaluation_short/input/16k/p225_017.wav,/data/evaluation_short/output_ps/16k/p225_017.wav,2.63717908
/data/evaluation_short/input/16k/p225_016.wav,/data/evaluation_short/output_ps/16k/p225_016.wav,2.64845005
/data/evaluation_short/input/16k/p225_002.wav,/data/evaluation_short/output_ps/16k/p225_002.wav,2.61925229
/data/evaluation_short/input/16k/p225_014.wav,/data/evaluation_short/output_ps/16k/p225_014.wav,2.60503053
/data/evaluation_short/input/16k/p225_028.wav,/data/evaluation_short/output_ps/16k/p225_028.wav,2.76642727
/data/evaluation_short/input/16k/p225_029.wav,/data/evaluation_short/output_ps/16k/p225_029.wav,2.66377441
/data/evaluation_short/input/16k/p225_001.wav,/data/evaluation_short/output_ps/16k/p225_001.wav,2.65844626
/data/evaluation_short/input/16k/p225_072.wav,/data/evaluation_short/output_ps/16k/p225_072.wav,2.82807762
/data/evaluation_short/input/16k/p225_066.wav,/data/evaluation_short/output_ps/16k/p225_066.wav,2.58861748
/data/evaluation_short/input/16k/p225_067.wav,/data/evaluation_short/output_ps/16k/p225_067.wav,2.55032602
/data/evaluation_short/input/16k/p225_073.wav,/data/evaluation_short/output_ps/16k/p225_073.wav,2.49171851
/data/evaluation_short/input/16k/p225_059.wav,/data/evaluation_short/output_ps/16k/p225_059.wav,2.81336023
/data/evaluation_short/input/16k/p225_065.wav,/data/evaluation_short/output_ps/16k/p225_065.wav,2.83372111
/data/evaluation_short/input/16k/p225_071.wav,/data/evaluation_short/output_ps/16k/p225_071.wav,2.97534391
/data/evaluation_short/input/16k/p225_070.wav,/data/evaluation_short/output_ps/16k/p225_070.wav,2.62351189
/data/evaluation_short/input/16k/p225_064.wav,/data/evaluation_short/output_ps/16k/p225_064.wav,2.55820833
/data/evaluation_short/input/16k/p225_058.wav,/data/evaluation_short/output_ps/16k/p225_058.wav,2.6050545
/data/evaluation_short/input/16k/p225_104.wav,/data/evaluation_short/output_ps/16k/p225_104.wav,2.67026878
/data/evaluation_short/input/16k/p225_110.wav,/data/evaluation_short/output_ps/16k/p225_110.wav,2.89200534
/data/evaluation_short/input/16k/p225_060.wav,/data/evaluation_short/output_ps/16k/p225_060.wav,2.66363264
/data/evaluation_short/input/16k/p225_049.wav,/data/evaluation_short/output_ps/16k/p225_049.wav,2.45980408
/data/evaluation_short/input/16k/p225_061.wav,/data/evaluation_short/output_ps/16k/p225_061.wav,2.62031262
/data/evaluation_short/input/16k/p225_103.wav,/data/evaluation_short/output_ps/16k/p225_103.wav,2.57750899
/data/evaluation_short/input/16k/p225_063.wav,/data/evaluation_short/output_ps/16k/p225_063.wav,2.55153276
/data/evaluation_short/input/16k/p225_089.wav,/data/evaluation_short/output_ps/16k/p225_089.wav,2.49907443
/data/evaluation_short/input/16k/p225_062.wav,/data/evaluation_short/output_ps/16k/p225_062.wav,2.52675966
/data/evaluation_short/input/16k/p225_053.wav,/data/evaluation_short/output_ps/16k/p225_053.wav,2.61435681
/data/evaluation_short/input/16k/p225_090.wav,/data/evaluation_short/output_ps/16k/p225_090.wav,2.70344362
/data/evaluation_short/input/16k/p225_084.wav,/data/evaluation_short/output_ps/16k/p225_084.wav,2.67717586
/data/evaluation_short/input/16k/p225_046.wav,/data/evaluation_short/output_ps/16k/p225_046.wav,2.6162742
/data/evaluation_short/input/16k/p225_052.wav,/data/evaluation_short/output_ps/16k/p225_052.wav,2.51551436
/data/evaluation_short/input/16k/p225_044.wav,/data/evaluation_short/output_ps/16k/p225_044.wav,2.75371397
/data/evaluation_short/input/16k/p225_092.wav,/data/evaluation_short/output_ps/16k/p225_092.wav,2.77277432
/data/evaluation_short/input/16k/p225_086.wav,/data/evaluation_short/output_ps/16k/p225_086.wav,2.78857781
/data/evaluation_short/input/16k/p225_051.wav,/data/evaluation_short/output_ps/16k/p225_051.wav,2.48817735
/data/evaluation_short/input/16k/p225_045.wav,/data/evaluation_short/output_ps/16k/p225_045.wav,2.65446447
/data/evaluation_short/input/16k/p225_109.wav,/data/evaluation_short/output_ps/16k/p225_109.wav,2.54845653
/data/evaluation_short/input/16k/p225_082.wav,/data/evaluation_short/output_ps/16k/p225_082.wav,2.43787857
/data/evaluation_short/input/16k/p225_083.wav,/data/evaluation_short/output_ps/16k/p225_083.wav,2.47382916
/data/evaluation_short/input/16k/p225_054.wav,/data/evaluation_short/output_ps/16k/p225_054.wav,2.52481276
/data/evaluation_short/input/16k/p225_040.wav,/data/evaluation_short/output_ps/16k/p225_040.wav,2.78549299
/data/evaluation_short/input/16k/p225_108.wav,/data/evaluation_short/output_ps/16k/p225_108.wav,2.56542468
/data/evaluation_short/input/16k/p225_056.wav,/data/evaluation_short/output_ps/16k/p225_056.wav,2.65698599
/data/evaluation_short/input/16k/p225_081.wav,/data/evaluation_short/output_ps/16k/p225_081.wav,2.45258829
/data/evaluation_short/input/16k/p225_094.wav,/data/evaluation_short/output_ps/16k/p225_094.wav,2.62334448
/data/evaluation_short/input/16k/p225_057.wav,/data/evaluation_short/output_ps/16k/p225_057.wav,2.49134006
/data/evaluation_short/input/16k/p225_018.wav,/data/evaluation_short/output_ps/16k/p225_018.wav,2.58171431
/data/evaluation_short/input/16k/p225_030.wav,/data/evaluation_short/output_ps/16k/p225_030.wav,2.70018279
/data/evaluation_short/input/16k/p225_024.wav,/data/evaluation_short/output_ps/16k/p225_024.wav,2.43727559
/data/evaluation_short/input/16k/p225_025.wav,/data/evaluation_short/output_ps/16k/p225_025.wav,2.73573341
/data/evaluation_short/input/16k/p225_019.wav,/data/evaluation_short/output_ps/16k/p225_019.wav,2.69848573
/data/evaluation_short/input/16k/p225_027.wav,/data/evaluation_short/output_ps/16k/p225_027.wav,2.916116
/data/evaluation_short/input/16k/p225_033.wav,/data/evaluation_short/output_ps/16k/p225_033.wav,2.82502089
/data/evaluation_short/input/16k/p225_026.wav,/data/evaluation_short/output_ps/16k/p225_026.wav,2.96449706
/data/evaluation_short/input/16k/p225_022.wav,/data/evaluation_short/output_ps/16k/p225_022.wav,2.51889982
/data/evaluation_short/input/16k/p225_036.wav,/data/evaluation_short/output_ps/16k/p225_036.wav,2.72367904
/data/evaluation_short/input/16k/p225_037.wav,/data/evaluation_short/output_ps/16k/p225_037.wav,2.85216674
/data/evaluation_short/input/16k/p225_023.wav,/data/evaluation_short/output_ps/16k/p225_023.wav,2.46688846
/data/evaluation_short/input/16k/p225_035.wav,/data/evaluation_short/output_ps/16k/p225_035.wav,2.7125329
/data/evaluation_short/input/16k/p225_021.wav,/data/evaluation_short/output_ps/16k/p225_021.wav,2.62779609
/data/evaluation_short/input/16k/p225_009.wav,/data/evaluation_short/output_ps/16k/p225_009.wav,2.59379709
/data/evaluation_short/input/16k/p225_008.wav,/data/evaluation_short/output_ps/16k/p225_008.wav,2.51232531
/data/evaluation_short/input/16k/p225_020.wav,/data/evaluation_short/output_ps/16k/p225_020.wav,2.67665612
